chargeback_id,txn_date,wholesaler,customer_id,contract_type,ndc,ndc_description,rate_class,pricing_unit,quantity,wac_per_unit,claimed_contract_price,chargeback_amount,error_type,is_invalid
CB2009197,2024-12-07,McKesson,CUST1058,IDN,31722055760,ABACAVIR 300 MG TABLET,G,EA,1781,0.72957,0.6221,191.4,VALID,0
CB2010709,2024-10-06,Cencora,CUST1045,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,2981,0.81871,0.54264,822.96,VALID,0
CB2001416,2024-07-18,CardinalHealth,CUST1008,SPECIALTY,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,3489,1.60408,1.16777,1522.29,VALID,0
CB2002770,2024-12-16,McKesson,CUST1054,GPO,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,2436,0.30716,0.22183,207.86,VALID,0
CB2006729,2025-01-01,Cencora,CUST1035,GPO,51672206200,3-DAY VAGINAL CREAM,G,GM,2209,0.33373,0.25,184.96,VALID,0
CB2001312,2025-01-14,CardinalHealth,CUST1000,GPO,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,506,0.30716,0.23885,34.56,VALID,0
CB2001966,2024-09-02,CardinalHealth,CUST1030,IDN,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,3692,43.29511,31.74397,42646.81,VALID,0
CB2010432,2025-04-24,McKesson,CUST1044,GPO,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,2505,0.08208,0.05632,64.53,VALID,0
CB2005678,2025-04-18,Cencora,CUST1005,340B,31722055760,ABACAVIR 300 MG TABLET,G,EA,323,0.72957,0.41053,103.05,VALID,0
CB2001289,2025-05-19,Cencora,CUST1041,IDN,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,2608,1.60408,1.31839,745.08,VALID,0
CB2004673,2024-12-20,McKesson,CUST1005,340B,00378410591,ABACAVIR 300 MG TABLET,G,EA,4345,0.72723,0.40921,1381.8,VALID,0
CB2001939,2025-05-18,CardinalHealth,CUST1037,GPO,51672206200,3-DAY VAGINAL CREAM,G,GM,960,0.33373,0.25183,78.62,VALID,0
CB2005149,2024-08-12,Cencora,CUST1049,IDN,51672206200,3-DAY VAGINAL CREAM,G,GM,3912,0.33373,0.26228,279.51,VALID,0
CB2005649,2024-09-08,Cencora,CUST1015,340B,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,4111,1.60408,0.85161,3093.4,VALID,0
CB2002701,2025-02-20,CardinalHealth,CUST1020,340B,51672206200,3-DAY VAGINAL CREAM,G,GM,833,0.33373,0.2003,111.15,VALID,0
CB2001633,2024-08-29,McKesson,CUST1000,GPO,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,3681,0.30716,0.23885,251.45,VALID,0
CB2010846,2024-08-18,McKesson,CUST1054,GPO,00378410591,ABACAVIR 300 MG TABLET,G,EA,3212,0.72723,0.52521,648.89,VALID,0
CB2007053,2024-06-11,CardinalHealth,CUST1014,GPO,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,3340,6.69193,4.42805,7561.36,VALID,0
CB2004838,2024-07-24,Cencora,CUST1026,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,2720,0.66792,0.46928,540.3,VALID,0
CB2004883,2024-07-15,Cencora,CUST1051,340B,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,4624,1.60408,0.8869,3316.24,VALID,0
CB2008209,2025-01-17,CardinalHealth,CUST1055,GPO,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,2775,6.69193,4.40864,6336.13,VALID,0
CB2009903,2024-08-01,McKesson,CUST1026,GPO,51672206200,3-DAY VAGINAL CREAM,G,GM,1548,0.33373,0.23448,153.64,VALID,0
CB2003479,2024-07-08,CardinalHealth,CUST1009,IDN,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,3653,43.29511,29.74374,49503.15,VALID,0
CB2005350,2024-11-21,McKesson,CUST1003,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,749,43.29511,28.75228,10892.58,VALID,0
CB2003899,2030-01-01,Cencora,CUST1049,IDN,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,4731,0.08208,0.06451,83.12,EXPIRED_CONTRACT,1
CB2001520,2024-09-02,CardinalHealth,CUST1021,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,3737,0.81871,0.61084,776.81,VALID,0
CB2011489,2024-08-18,CardinalHealth,CUST1028,IDN,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,4640,43.29511,25.64747,81885.06,PRICE_MISMATCH,1
CB2002145,2025-02-13,CardinalHealth,CUST1019,GPO,00378410591,ABACAVIR 300 MG TABLET,G,EA,4709,0.72723,0.52215,965.72,VALID,0
CB2002574,2024-07-14,Cencora,CUST1005,340B,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,4427,6.69193,3.34998,14794.81,VALID,0
CB2009763,2024-06-09,McKesson,CUST1054,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,1117,0.81871,0.59127,254.05,VALID,0
CB2004273,2024-08-11,CardinalHealth,CUST1037,GPO,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,1392,1.00093,0.7553,341.92,VALID,0
CB2001902,2024-09-25,Cencora,CUST1025,340B,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,2053,0.30716,0.17312,275.18,VALID,0
CB2003042,2025-05-23,McKesson,CUST1002,340B,31722055760,ABACAVIR 300 MG TABLET,G,EA,4504,0.72957,0.39127,1523.7,VALID,0
CB2000490,2025-04-02,McKesson,CUST1055,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,4948,0.81871,0.60756,1044.77,VALID,0
CB2004369,2024-08-16,Cencora,CUST1024,GPO,00378410591,ABACAVIR 300 MG TABLET,G,EA,3939,0.72723,0.54884,702.68,VALID,0
CB2001809,2024-12-30,Cencora,CUST1039,340B,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,2080,0.81871,0.38848,894.88,VALID,0
CB2000222,2024-10-02,Cencora,CUST1017,SPECIALTY,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,1917,1740.91629,1155.96842,1121345.07,VALID,0
CB2005411,2025-05-14,McKesson,CUST1026,GPO,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,2280,1.60408,1.12703,1087.67,VALID,0
CB2003357,2024-12-25,Cencora,CUST1035,GPO,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,1656,1740.91629,1106.00412,1051414.55,VALID,0
